customer_id,age,tenure_months,monthly_charges,service_type,payment_method,contract_type,tech_support,internet_service,churn
CUST0001,42,7.0,97.9,Standard,Electronic Check,One year,No,None,1
CUST0002,26,56.0,33.46,Basic,Mailed Check,Month-to-month,No,DSL,0
CUST0003,60,48.0,73.61,Basic,Credit Card,Two year,No,DSL,1
CUST0004,64,32.0,71.42,Standard,Credit Card,Two year,No,None,1
CUST0005,61,32.0,105.76,Premium,Electronic Check,One year,No,Fiber,1
CUST0006,58,62.0,66.28,Standard,Credit Card,One year,No,DSL,1
CUST0007,31,7.0,58.51,Standard,Electronic Check,One year,No,DSL,1
CUST0008,48,51.0,83.96,Basic,Credit Card,Two year,Yes,DSL,1
CUST0009,24,15.0,46.65,Basic,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0010,39,7.0,33.98,Basic,Electronic Check,Month-to-month,No,DSL,1
CUST0011,47,38.0,67.79,Premium,Bank Transfer,Month-to-month,No,None,1
CUST0012,56,71.0,61.69,Premium,Bank Transfer,Month-to-month,Yes,None,0
CUST0013,23,53.0,,Premium,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0014,65,55.0,56.75,Premium,Electronic Check,One year,Yes,Fiber,1
CUST0015,44,52.0,56.64,Premium,Mailed Check,Month-to-month,No,DSL,1
CUST0016,69,57.0,52.75,Premium,Credit Card,Two year,Yes,DSL,0
CUST0017,48,37.0,57.95,Basic,Bank Transfer,Month-to-month,No,Fiber,1
CUST0018,49,10.0,88.57,Basic,Mailed Check,Month-to-month,No,DSL,1
CUST0019,58,61.0,49.69,Basic,Bank Transfer,Month-to-month,Yes,DSL,0
CUST0020,65,33.0,114.89,Standard,Bank Transfer,Month-to-month,No,DSL,1
CUST0021,27,37.0,111.63,Basic,Credit Card,Month-to-month,No,DSL,1
CUST0022,47,27.0,68.09,Premium,Credit Card,Month-to-month,No,Fiber,1
CUST0023,19,14.0,52.84,Standard,Mailed Check,Month-to-month,No,Fiber,1
CUST0024,45,67.0,73.54,Standard,Electronic Check,Month-to-month,No,None,1
CUST0025,65,57.0,104.86,Basic,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0026,68,47.0,85.26,Basic,Bank Transfer,Month-to-month,No,None,1
CUST0027,34,29.0,100.44,Basic,Credit Card,Month-to-month,No,Fiber,1
CUST0028,40,60.0,73.27,Premium,Credit Card,Month-to-month,Yes,None,1
CUST0029,49,40.0,83.29,Standard,Bank Transfer,Month-to-month,No,Fiber,1
